index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,perfect_reversions,perfect_reversions_summary,perfect_reversion_count,perfectly_reverts_a_previous_change,perfectly_reverts_a_later_change
1,split,Dryobates stricklandi,"Dryobates stricklandi, Dryobates arizonae",aou_1_01 (1889),1889,"Dryobates stricklandi -> Dryobates stricklandi + Dryobates arizonae [split, aou_1_01 (1889)]","Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]",1,no,yes,,,0,no,no
2,lump,"Carpodacus mexicanus, Carpodacus frontalis",Carpodacus mexicanus,aou_1_01 (1889),1889,"Carpodacus mexicanus + Carpodacus frontalis -> Carpodacus mexicanus [lump, aou_1_01 (1889)]",,0,no,no,,,0,no,no
3,split,Rallus longirostris,"Rallus longirostris, Rallus scottii, Rallus crepitans",aou_1_02 (1890),1890,"Rallus longirostris -> Rallus longirostris + Rallus scottii + Rallus crepitans [split, aou_1_02 (1890)]","Rallus scottii + Rallus crepitans -> Rallus crepitans [lump, aou_2_11 (1902)]; Rallus longirostris + Rallus crepitans -> Rallus longirostris [lump, aou_4 (1931)]",2,no,yes,,,0,no,no
4,lump,"Buteo harlani, Buteo borealis",Buteo borealis,aou_1_03 (1891),1891,"Buteo harlani + Buteo borealis -> Buteo borealis [lump, aou_1_03 (1891)]","Buteo borealis -> Buteo harlani + Buteo borealis [split, aou_4_19 (1944)]",1,no,yes,"Buteo borealis -> Buteo harlani + Buteo borealis [split, aou_4_19 (1944)]",lump (1891) -> split (1944) [starting with change id 3628d4e7-0ccf-4d7a-9c9a-b3161b3d2109],1,no,yes
5,lump,"Junco carolinensis, Junco hyemalis",Junco hyemalis,aou_1_04 (1892),1892,"Junco carolinensis + Junco hyemalis -> Junco hyemalis [lump, aou_1_04 (1892)]",,0,no,no,,,0,no,no
6,split,Porzana jamaicensis,"Porzana jamaicensis, Porzana coturniculus",aou_1_05 (1893),1893,"Porzana jamaicensis -> Porzana jamaicensis + Porzana coturniculus [split, aou_1_05 (1893)]","Creciscus coturniculus + Creciscus jamaicensis -> Creciscus jamaicensis [lump, aou_4 (1931)]",1,no,yes,,,0,no,no
7,lump,"Engyptila albifrons, Leptotila fulviventris",Leptotila fulviventris,aou_1_07 (1895),1895,"Engyptila albifrons + Leptotila fulviventris -> Leptotila fulviventris [lump, aou_1_07 (1895)]",,0,no,no,,,0,no,no
8,lump,"Chordeiles acutipennis, Chordeiles texensis",Chordeiles acutipennis,aou_1_07 (1895),1895,"Chordeiles acutipennis + Chordeiles texensis -> Chordeiles acutipennis [lump, aou_1_07 (1895)]",,0,no,no,,,0,no,no
9,lump,"Heleodytes bunneicapillus, Heleodytes affinis",Heleodytes bunneicapillus,aou_2_08 (1897),1897,"Heleodytes bunneicapillus + Heleodytes affinis -> Heleodytes bunneicapillus [lump, aou_2_08 (1897)]",,0,no,no,,,0,no,no
10,lump,"Junco danbyi, Junco aikeni",Junco aikeni,aou_2_08 (1897),1897,"Junco danbyi + Junco aikeni -> Junco aikeni [lump, aou_2_08 (1897)]",,0,no,no,,,0,no,no
