id,name,names_in_dataset,all_names_in_cluster,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
0c11866e-ddec-4553-9aba-4c82708db102,Pyrilia haematotis,Pyrilia haematotis,Pionopsitta haematotis; Pyrilia haematotis,1,Taxon concept fa76f3af-2873-41ff-84ab-14f0a07c1ffc containing 'Pyrilia haematotis' and 'Pionopsitta haematotis' found between 1983 to 2017 in 3 datasets (part of name cluster 0c11866e-ddec-4553-9aba-4c82708db102),added -> rename -> referenced,added -> referenced,,aou_6 (1983),1983,NA,Brown-hooded Parrot,618,Psittacidae,Caïque à capuchon,Pyrilia,Psittaciformes,species,NA,Pyrilia haematotis,NA,NA,NA,NA,NA,NA,Arinae
041f87e6-cf62-400a-a208-52fd8fee9571,Ardea herodias,Ardea herodias,Ardea herodias,3,Taxon concept 2b033666-184e-46c5-a678-20ce96fc82b4 containing 'Ardea herodias' found between 1903 to 1973 in 2 datasets (part of name cluster 041f87e6-cf62-400a-a208-52fd8fee9571); Taxon concept c16cb586-3388-4678-8e05-60242ea2feb5 containing 'Ardea herodias' found between 1973 to 2017 in 3 datasets (part of name cluster 041f87e6-cf62-400a-a208-52fd8fee9571); Taxon concept 5e61bba8-d603-43a5-8806-7992cdca591e containing 'Ardea herodias' found between 1886 to 1903 in 2 datasets (part of name cluster 041f87e6-cf62-400a-a208-52fd8fee9571),added -> lump -> lump -> referenced -> referenced,added -> lump -> lump -> referenced -> referenced,lump -> lump,aou_1.csv (1886),1886,NA,Great Blue Heron,224; 194,Ardeidae,Grand Héron,Ardea,Pelecaniformes,species,Ardea herodias,Ardea herodias,NA,NA,NA,NA,NA,NA,NA
7ea3516f-ff13-43de-99f6-7f48680a1f59,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,2,Taxon concept f3813586-9f47-4aaa-a802-18f6c5e7031e containing 'Myiarchus tyrannulus' found between 1931 to 2017 in 5 datasets (part of name cluster 7ea3516f-ff13-43de-99f6-7f48680a1f59); Taxon concept 515f29b0-0767-42b6-9beb-ca7b60536a63 containing 'Myiarchus tyrannulus' found between 1931 in 1 datasets (part of name cluster 7ea3516f-ff13-43de-99f6-7f48680a1f59),lump -> referenced -> referenced -> referenced -> referenced,lump -> referenced -> referenced -> referenced -> referenced,lump,aou_4 (1931),1931,NA,Brown-crested Flycatcher,1170,Tyrannidae,Tyran de Wied,Myiarchus,Passeriformes,species,Myiarchus tyrannulus,Myiarchus tyrannulus,NA,NA,NA,NA,NA,NA,Tyranninae
9eb2ef9a-be90-4146-b366-c9a7e320e905,Plectrophenax hyperboreus,Plectrophenax hyperboreus,Passerina hyperborea; Plectrophenax hyperboreus,1,Taxon concept d8831202-7f6b-46aa-bb60-43a7bde1c87c containing 'Passerina hyperborea' and 'Plectrophenax hyperboreus' found between 1886 to 2017 in 9 datasets (part of name cluster 9eb2ef9a-be90-4146-b366-c9a7e320e905),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,McKay's Bunting,1745; 535,Calcariidae,Plectrophane blanc,Plectrophenax,Passeriformes,species,Plectrophenax hyperboreus,Plectrophenax hyperboreus,NA,NA,NA,NA,NA,NA,NA
8cd24d61-ade7-4ed2-8e83-83dffdeb8fca,Calyptophilus frugivorus,Calyptophilus frugivorus,Calyptophilus frugivorus,2,Taxon concept 7aaecaa4-4f1f-42ea-8118-d3b4608a1487 containing 'Calyptophilus frugivorus' found between 1983 to 1997 in 2 datasets (part of name cluster 8cd24d61-ade7-4ed2-8e83-83dffdeb8fca); Taxon concept 6a8cae71-cff1-47aa-b776-43db7dd27e93 containing 'Calyptophilus frugivorus' found between 1997 to 2017 in 2 datasets (part of name cluster 8cd24d61-ade7-4ed2-8e83-83dffdeb8fca),added -> split -> referenced,added -> split -> referenced,split,aou_6 (1983),1983,NA,Eastern Chat-Tanager,1944,Incertae sedis,Tangara cornichon,Calyptophilus,Passeriformes,species,NA,Calyptophilus frugivorus,NA,NA,NA,NA,*,NA,NA
39ea29f5-4e1a-4ec7-bb31-c5aff8cdec7f,Chalybura buffonii,Chalybura buffonii,Chalybura buffonii,1,Taxon concept ff44ea75-1406-4399-8a2e-aebc30820afd containing 'Chalybura buffonii' found between 1983 to 2017 in 2 datasets (part of name cluster 39ea29f5-4e1a-4ec7-bb31-c5aff8cdec7f),added -> referenced,added -> referenced,,aou_6 (1983),1983,NA,White-vented Plumeleteer,840,Trochilidae,Colibri de Buffon,Chalybura,Apodiformes,species,NA,Chalybura buffonii,NA,NA,NA,NA,NA,NA,Trochilinae
85b3e475-62cd-4fb8-8aea-b2b54e596039,Nyctiphrynus yucatanicus,Nyctiphrynus yucatanicus,Nyctiphrynus yucatanicus,1,Taxon concept 2331494c-b695-4781-9ab2-c727099a2e11 containing 'Nyctiphrynus yucatanicus' found between 1983 to 2017 in 2 datasets (part of name cluster 85b3e475-62cd-4fb8-8aea-b2b54e596039),added -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Yucatan Poorwill,716,Caprimulgidae,Engoulevent du Yucatan,Nyctiphrynus,Caprimulgiformes,species,NA,Nyctiphrynus yucatanicus,NA,NA,NA,NA,NA,NA,Caprimulginae
8fa58539-3755-4027-b103-ddb898edbcf2,Vermivora chrysoptera,Vermivora chrysoptera,Vermivora chrysoptera; Helminthophila chrysoptera,1,Taxon concept f862ed67-937b-4dff-a0e5-b79c34b69dce containing 'Helminthophila chrysoptera' and 'Vermivora chrysoptera' found between 1886 to 2017 in 8 datasets (part of name cluster 8fa58539-3755-4027-b103-ddb898edbcf2),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Golden-winged Warbler,1534; 642,Parulidae,Paruline à ailes dorées,Vermivora,Passeriformes,species,Vermivora chrysoptera; Helminthophila chrysoptera,Vermivora chrysoptera,NA,NA,NA,NA,NA,NA,NA
b424c2fb-1953-44f7-b8b4-4917ef1f612f,Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,1,Taxon concept 1571f1d4-7eb3-4d6a-87ba-e6017e6a350e containing 'Cyphorhinus phaeocephalus' found between 1983 to 2017 in 2 datasets (part of name cluster b424c2fb-1953-44f7-b8b4-4917ef1f612f),added -> referenced,added -> referenced,,aou_6 (1983),1983,NA,Song Wren,1398,Troglodytidae,Troglodyte chanteur,Cyphorhinus,Passeriformes,species,NA,Cyphorhinus phaeocephalus,NA,NA,NA,NA,NA,NA,NA
02b66b44-c9ac-4c1a-b314-3f893bdee801,Procelsterna cerulea,Procelsterna cerulea,Procelsterna cerulea,1,Taxon concept 8347a9f4-ee68-4916-bcaa-4624df5af789 containing 'Procelsterna cerulea' found between January 1982 to 2017 in 3 datasets (part of name cluster 02b66b44-c9ac-4c1a-b314-3f893bdee801),added -> referenced -> referenced,added -> referenced -> referenced,,aou_5_34 (January 1982),1982,NA,Blue-gray Noddy,484,Laridae,Noddi bleu,Procelsterna,Charadriiformes,species,Procelsterna cerulea,Procelsterna cerulea,NA,NA,H,NA,NA,NA,Sterninae
