name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Numenius americanus,"Numenius americanus, Numenius longirostris",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes
Cardinalis sinuatus,"Cardinalis sinuatus, Pyrrhuloxia sinuata",2,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1910; 1957; 1976; January 1982; February 1982; 1983; 2017,yes,yes
Eucometis penicillata,Eucometis penicillata,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Turdus nudigenis,Turdus nudigenis,1,Dataset aou_6 (1983); Dataset aou_6_35 (1985); Dataset aou_7_49 (2008); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1985; 2008; 2011; 2017,no,yes
Geranospiza caerulescens,Geranospiza caerulescens,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Anas laysanensis,Anas laysanensis,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Pterodroma cervicalis,Pterodroma cervicalis,1,Dataset aou_6_38 (1991); Checklist NACC_list_species_aou_7_57.csv (2017),1991; 2017,no,yes
Synthliboramphus antiquus,"Synthliboramphus antiquus, Synthliboramphus antiquum",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; February 1982; 2017,yes,yes
Delichon urbicum,"Delichon urbica, Chelidonaria urbica, Delichon urbicum",3,Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1908; 1910; 1944; 1957; January 1982; February 1982; 2004; 2017,no,yes
Anthus pratensis,Anthus pratensis,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982),1886; January 1982,yes,no
Margarornis bellulus,Margarornis bellulus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Ceratopipra erythrocephala,Ceratopipra erythrocephala,1,Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),2013; 2017,no,yes
Passerina amoena,"Cyanospiza amoena, Passerina amoena",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes
Turdus obsoletus,Turdus obsoletus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Xenotriccus callizonus,Xenotriccus callizonus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Emberiza rustica,Emberiza rustica,1,Dataset aou_3_16 (1912); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1912; January 1982; February 1982; 2017,no,yes
Xenus cinereus,Xenus cinereus,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Troglodytes hiemalis,"Troglodytes hiemalis pacificus, Nannus hiemalis, Troglodytes hiemalis, Olbiorchilus hiemalis, Anorthura hiemalis",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_11 (1902); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1902; 1908; 1931; 1944; 2010; 2017,yes,yes
Trochilus heloisa,Trochilus heloisa,1,Checklist aou_1.csv (1886); Dataset aou_1_03 (1891),1886; 1891,yes,no
Fregata aquila,Fregata aquila,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931),1886; 1909; 1931,yes,no
Basileuterus belli,Basileuterus belli,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1983; 2017,yes,yes
Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Legatus leucophaius,Legatus leucophaius,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Luscinia calliope,"Calliope calliope, Luscinia calliope",2,Dataset aou_3_16 (1912); Dataset aou_4 (1931); Dataset aou_4_25 (1950); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1912; 1931; 1950; 1957; January 1982; February 1982; 1983; 2011; 2017,no,yes
Phainoptila melanoxantha,Phainoptila melanoxantha,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Tangara lavinia,Tangara lavinia,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
