id,name,names,name_cluster_id,date_range,datasets,first_added_dataset,last_recognized_dataset,dataset_years,first_added_year,last_recognized_year,starts_with,ends_with,is_polytypic,is_ongoing,recognized_in_last_dataset
d866788a-e56a-4a6d-b027-b5ffca451ebc,Numenius americanus,Numenius americanus; Numenius longirostris,0ed5c04b-1903-4d81-bfc7-f26d4e4054f5,1886 to 2017,"aou_1.csv, aou_2_14, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1908, 1982, 2017",1886,2017,added Numenius longirostris,,no,no,yes
7d7c2155-088d-485e-b88f-bf983dfa4297,Cardinalis sinuatus,Cardinalis sinuatus; Pyrrhuloxia sinuata,bf3c2de8-4879-467e-8ae2-07dbb4a14fc7,1886 to 2017,"aou_1.csv, aou_2, aou_3, aou_5, aou_5_33, aou_5_34, aou_5_34.csv, aou_6, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1895, 1910, 1957, 1976, 1982, 1982, 1983, 2017",1886,2017,added Pyrrhuloxia sinuata,,no,no,yes
b8664d3e-7d60-4ccd-bd76-edb51816cd42,Eucometis penicillata,Eucometis penicillata,22ce965f-a0ae-4506-8f92-0f9e6f3f64e9,1983 to 2017,"aou_6, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 2017",1983,2017,added Eucometis penicillata,,no,no,yes
b4ff595f-9a4f-4839-ba78-7af906d51174,Turdus nudigenis,Turdus nudigenis,d6a6919d-e37d-4282-91f0-f5bbd81db27f,1983 to 2017,"aou_6, aou_6_35, aou_7_49, aou_7_52, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 1985, 2008, 2011, 2017",1983,2017,added Turdus nudigenis,,no,no,yes
d395c8b2-042e-4106-959d-345480816685,Geranospiza caerulescens,Geranospiza caerulescens,3b6d61d9-29ec-4ef7-81e6-ced070e14eb4,1983 to 2017,"aou_6, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 2017",1983,2017,added Geranospiza caerulescens,,no,no,yes
389fa41d-b58a-469a-823b-f09532b28c44,Anas laysanensis,Anas laysanensis,9741ff58-993f-49a8-a3dc-fe9430b8a404,January 1982 to 2017,"aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_5_34,NACC_list_species_aou_7_57.csv,"1982, 1982, 2017",1982,2017,added Anas laysanensis,,no,no,yes
e0349af4-1e60-4707-a1fc-1dc0f73db662,Pterodroma cervicalis,Pterodroma cervicalis,735ed729-8302-40c8-9d70-94f03cfa6d61,1991,aou_6_38,aou_6_38,aou_6_38,1991,1991,1991,"Pterodroma externa -> Pterodroma cervicalis + Pterodroma externa [split, aou_6_38 (1991)]","Pterodroma externa -> Pterodroma cervicalis + Pterodroma externa [split, aou_6_38 (1991)]",no,no,yes
ba8b5c89-900f-44a7-9a4f-e5352f28f7a9,Pterodroma cervicalis,Pterodroma cervicalis,735ed729-8302-40c8-9d70-94f03cfa6d61,1991 to 2017,"aou_6_38, NACC_list_species_aou_7_57.csv",aou_6_38,NACC_list_species_aou_7_57.csv,"1991, 2017",1991,2017,"Pterodroma externa -> Pterodroma cervicalis + Pterodroma externa [split, aou_6_38 (1991)]",,no,no,yes
ae827a39-5d82-402e-8626-907a09952a1d,Synthliboramphus antiquus,Synthliboramphus antiquum; Synthliboramphus antiquus,59fab2d6-1514-4007-9c29-27ab519f1f2d,1886 to 2017,"aou_1.csv, aou_5, aou_5_32, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1957, 1973, 1982, 2017",1886,2017,added Synthliboramphus antiquus,,no,no,yes
92f95b38-e971-4d2c-8e5a-d1790f65af86,Delichon urbicum,Chelidonaria urbica; Delichon urbica; Delichon urbicum,fb213c4d-ea8f-4b0f-bd74-e696be4aa2b3,1908 to 2017,"aou_2_14, aou_3, aou_4_19, aou_5, aou_5_34, aou_5_34.csv, aou_7_45, NACC_list_species_aou_7_57.csv",aou_2_14,NACC_list_species_aou_7_57.csv,"1908, 1910, 1944, 1957, 1982, 1982, 2004, 2017",1908,2017,added Chelidonaria urbica,,no,no,yes
112ab2ca-326d-4188-843f-844cc4186c94,Anthus pratensis,Anthus pratensis,4bb06bd0-01d6-4c97-b3d4-aa46988f1651,1886 to January 1982,"aou_1.csv, aou_5_34",aou_1.csv,aou_5_34,"1886, 1982",1886,1982,added Anthus pratensis,,no,no,no
3c17ae53-6a93-4c8b-af7d-8407bfd9fae7,Margarornis bellulus,Margarornis bellulus,31f05423-ae0d-4d8c-ab67-342f70de2194,1983 to 2017,"aou_6, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 2017",1983,2017,added Margarornis bellulus,,no,no,yes
e5adf0d6-34e1-4214-9500-1f407285906c,Ceratopipra erythrocephala,Ceratopipra erythrocephala,c6bddb11-819e-4971-8550-2e825331bf6b,2017,NACC_list_species_aou_7_57.csv,NACC_list_species_aou_7_57.csv,NACC_list_species_aou_7_57.csv,2017,2017,2017,added Ceratopipra erythrocephala,,no,no,yes
96c116b3-4f80-4bcb-9efe-b9f2a486288b,Passerina amoena,Cyanospiza amoena; Passerina amoena,0838c852-72a5-4f60-b791-808678cc5443,1886 to 2017,"aou_1.csv, aou_2_09, aou_2_14, aou_5_34, aou_5_34.csv, aou_6, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1899, 1908, 1982, 1982, 1983, 2017",1886,2017,added Passerina amoena,,no,no,yes
0727cc2f-841a-4126-b2dc-921c218acede,Turdus obsoletus,Turdus obsoletus,734c0215-2aa8-456a-9c24-417ac46cb266,1983 to 2017,"aou_6, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 2017",1983,2017,added Turdus obsoletus,,no,no,yes
e51597fc-f20d-40d0-b0a8-d700a05745e6,Xenotriccus callizonus,Xenotriccus callizonus,d96baac4-d92b-4d41-9753-5d1239d93a0c,1983 to 2017,"aou_6, NACC_list_species_aou_7_57.csv",aou_6,NACC_list_species_aou_7_57.csv,"1983, 2017",1983,2017,added Xenotriccus callizonus,,no,no,yes
fd65b854-5b80-4811-bbae-279be6152c0d,Emberiza rustica,Emberiza rustica,5e2ad3da-1f16-4fb1-ae4b-f7546a89c2a8,1912 to 2017,"aou_3_16, aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_3_16,NACC_list_species_aou_7_57.csv,"1912, 1982, 1982, 2017",1912,2017,added Emberiza rustica,,no,no,yes
af2b2470-444a-4829-ad89-4eca07a2d917,Xenus cinereus,Xenus cinereus,e8da8709-b89e-485a-8a51-a0b17d39d180,January 1982 to 2017,"aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_5_34,NACC_list_species_aou_7_57.csv,"1982, 1982, 2017",1982,2017,added Xenus cinereus,,no,no,yes
2845681b-94c1-48bd-8cb5-8dd6b4ce6b0c,Nannus hiemalis,Anorthura hiemalis; Nannus hiemalis; Olbiorchilus hiemalis; Troglodytes hiemalis; Troglodytes hiemalis pacificus,6214069a-4a71-4bd2-9f81-20a0f3415d00,1886 to 1931,"aou_1.csv, aou_2_09, aou_2_11, aou_2_14, aou_4",aou_1.csv,aou_4,"1886, 1899, 1902, 1908, 1931",1886,1931,added Troglodytes hiemalis pacificus; added Troglodytes hiemalis,"Nannus meliger + Nannus hiemalis -> Nannus hiemalis [lump, aou_4 (1931)]",yes,no,yes
966aa804-1c0f-4c46-a29d-4aaf8c6a4fed,Nannus hiemalis,Nannus hiemalis,6214069a-4a71-4bd2-9f81-20a0f3415d00,1931 to 1944,"aou_4, aou_4_19",aou_4,aou_4_19,"1931, 1944",1931,1944,"Nannus meliger + Nannus hiemalis -> Nannus hiemalis [lump, aou_4 (1931)]","Troglodytes troglodytes + Nannus hiemalis -> Troglodytes troglodytes [lump, aou_4_19 (1944)]",yes,no,no
