id,name,names_in_dataset,all_names_in_cluster,name_cluster_id,starts_with,ends_with,is_ongoing,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
ccf53574-1df0-4f01-8669-48932e79058e,Pipilo chlorurus,Pipilo chlorurus,Pipilo chlorurus; Oreospiza chlorura; Oberholseria chlorura; Chlorura chlorura,ca782be4-69c5-4ab5-8b33-e207a6b4b499,added Pipilo chlorurus,,no,aou_1.csv (1886),1886,Monotypic.,Green-tailed Towhee,1686; 590,Emberizidae,Tohi à queue verte,Pipilo,Passeriformes,species,Pipilo chlorurus,Pipilo chlorurus,NA,NA,NA,NA,NA,NA,NA
d2a93d40-a6c5-4e5e-b0b1-78b777be048f,Chen rossii,Chen rossii,Chen rossi; Chen rossii,6a68493f-0e8f-4d65-9c5d-f28caedf9c35,added Chen rossii,,no,aou_1.csv (1886),1886,Monotypic.,Ross's Goose,18; 170,Anatidae,Oie de Ross,Chen,Anseriformes,species,Chen rossii,Chen rossii,NA,NA,NA,NA,NA,NA,Anserinae
e72759b9-30a8-423c-be0d-a26d029f9db8,Ardea herodias,Ardea herodias,Ardea herodias,73c95458-6d86-44fd-aa87-f39127aa1a9d,added Ardea herodias,"Ardea herodias + Ardea wardi -> Ardea herodias [lump, aou_2_12 (1903)]",no,aou_1.csv (1886),1886,NA,NA,194,NA,NA,NA,NA,NA,Ardea herodias,NA,NA,NA,NA,NA,NA,NA,NA
f93bca5b-0fe8-43d2-8c07-387f5bc073d6,Ardea herodias,Ardea herodias,Ardea herodias,73c95458-6d86-44fd-aa87-f39127aa1a9d,"Ardea herodias + Ardea wardi -> Ardea herodias [lump, aou_2_12 (1903)]","Ardea herodias + Ardea occidentalis -> Ardea herodias [lump, aou_5_32 (1973)]",no,aou_2_12 (1903),1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5e681174-5d7f-416d-b9eb-18347f0b8908,Ardea herodias,Ardea herodias,Ardea herodias,73c95458-6d86-44fd-aa87-f39127aa1a9d,"Ardea herodias + Ardea occidentalis -> Ardea herodias [lump, aou_5_32 (1973)]",,no,aou_5_32 (1973),1973,NA,Great Blue Heron,224,Ardeidae,Grand Héron,Ardea,Pelecaniformes,species,Ardea herodias,Ardea herodias,NA,NA,NA,NA,NA,NA,NA
0c89675c-0c27-4879-9db6-fe738fab298c,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,63e91b77-697c-4fa1-93a7-705490a11027,"Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]","Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]",no,aou_4 (1931),1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d75c621f-1902-430d-8478-475ad4821bf7,Myiarchus tyrannulus,Myiarchus tyrannulus,Myiarchus tyrannulus,63e91b77-697c-4fa1-93a7-705490a11027,"Myiarchus tyrannulus + Myiarchus magister -> Myiarchus tyrannulus [lump, aou_4 (1931)]",,no,aou_4 (1931),1931,NA,Brown-crested Flycatcher,1170,Tyrannidae,Tyran de Wied,Myiarchus,Passeriformes,species,Myiarchus tyrannulus,Myiarchus tyrannulus,NA,NA,NA,NA,NA,NA,Tyranninae
03a1c87b-0474-425a-bf8e-f37ac0a5d20b,Plectrophenax hyperboreus,Plectrophenax hyperboreus,Passerina hyperborea; Plectrophenax hyperboreus,f0aacc67-946d-49fe-ac04-df983c83ebe3,added Plectrophenax hyperboreus,,no,aou_1.csv (1886),1886,Monotypic.,McKay's Bunting,1745; 535,Calcariidae,Plectrophane blanc,Plectrophenax,Passeriformes,species,Plectrophenax hyperboreus,Plectrophenax hyperboreus,NA,NA,NA,NA,NA,NA,NA
b82bf7b0-c35a-42e7-83df-e97e9803fdc8,Anas discors,Anas discors,Querquedula discors; Anas discors,f93a78e2-1a6c-4d77-a34a-04c2718bc135,added Anas discors,,no,aou_1.csv (1886),1886,"Monotypic. <i>Anas discors orphna</i> recognized by AOU 1957, but validity doubtful.",Blue-winged Teal,140; 42,Anatidae,Sarcelle à ailes bleues,Anas,Anseriformes,species,Anas discors,Anas discors,NA,NA,NA,NA,NA,NA,Anatinae
7fb0d670-f68d-4198-b5da-b5e558edf979,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,9243ff75-9602-4ffa-aab6-01cb1e54a7de,added Melanerpes erythrocephalus,,no,aou_1.csv (1886),1886,Monotypic.,Red-headed Woodpecker,940; 406,Picidae,Pic à tête rouge,Melanerpes,Piciformes,species,Melanerpes erythrocephalus,Melanerpes erythrocephalus,NA,NA,NA,NA,NA,NA,Picinae
