name,synonyms,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,aou_ids,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
Pipilo chlorurus,Pipilo chlorurus; Oreospiza chlorura; Oberholseria chlorura; Chlorura chlorura,1,Taxon concept fc0df693-cd32-4d13-bae6-88a6a2a753e5 containing 'Pipilo chlorurus' and 'Oreospiza chlorura' and 'Oberholseria chlorura' and 'Chlorura chlorura' found between 1886 to 2017 in 8 datasets (part of name cluster 5cca50a8-206e-43b0-b49e-7a787207f2b7),added -> rename -> rename -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Green-tailed Towhee,1686; 590,Emberizidae,Tohi à queue verte,Pipilo,Passeriformes,species,Pipilo chlorurus,Pipilo chlorurus,NA,NA,NA,NA,NA,NA,NA
Chen rossii,Chen rossi; Chen rossii,1,Taxon concept c4bcad00-3eaf-4f25-8d56-afc96dc4037c containing 'Chen rossii' and 'Chen rossi' found between 1886 to 2017 in 8 datasets (part of name cluster 77a7709a-c9e9-4540-b53b-5acde8b2cf3c),added -> referenced -> rename -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Ross's Goose,18; 170,Anatidae,Oie de Ross,Chen,Anseriformes,species,Chen rossii,Chen rossii,NA,NA,NA,NA,NA,NA,Anserinae
Ardea herodias,Ardea herodias,3,Taxon concept 3c9c3148-93ab-4647-97ef-30d380cd81b2 containing 'Ardea herodias' found between 1973 to 2017 in 3 datasets (part of name cluster d2f9d20b-d613-4fd4-ab64-98f5aed1bf79); Taxon concept c346d3a1-bd81-4b1e-958f-adb2704ff1ed containing 'Ardea herodias' found between 1903 to 1973 in 2 datasets (part of name cluster d2f9d20b-d613-4fd4-ab64-98f5aed1bf79); Taxon concept b65cfbb0-33e5-4c54-83d5-c385b12ae885 containing 'Ardea herodias' found between 1886 to 1903 in 2 datasets (part of name cluster d2f9d20b-d613-4fd4-ab64-98f5aed1bf79),added -> lump -> lump -> referenced -> referenced,added -> lump -> lump -> referenced -> referenced,lump -> lump,aou_1.csv (1886),1886,NA,Great Blue Heron,224; 194,Ardeidae,Grand Héron,Ardea,Pelecaniformes,species,Ardea herodias,Ardea herodias,NA,NA,NA,NA,NA,NA,NA
Myiarchus tyrannulus,Myiarchus tyrannulus,2,Taxon concept 74dccb6c-0993-4d1f-82be-5c50f5c9124e containing 'Myiarchus tyrannulus' found between 1931 to 2017 in 5 datasets (part of name cluster d49ad292-599d-4fef-82a3-931ff4832dc4); Taxon concept 6b2cbef3-6843-4913-af49-d44e01d5803a containing 'Myiarchus tyrannulus' found between 1931 in 1 datasets (part of name cluster d49ad292-599d-4fef-82a3-931ff4832dc4),lump -> referenced -> referenced -> referenced -> referenced,lump -> referenced -> referenced -> referenced -> referenced,lump,aou_4 (1931),1931,NA,Brown-crested Flycatcher,1170,Tyrannidae,Tyran de Wied,Myiarchus,Passeriformes,species,Myiarchus tyrannulus,Myiarchus tyrannulus,NA,NA,NA,NA,NA,NA,Tyranninae
Plectrophenax hyperboreus,Passerina hyperborea; Plectrophenax hyperboreus,1,Taxon concept 34868c61-79bc-46be-bef5-e2f3de40aa2a containing 'Passerina hyperborea' and 'Plectrophenax hyperboreus' found between 1886 to 2017 in 9 datasets (part of name cluster 50a23170-8172-4e7a-abb1-a40ed5c8664f),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,McKay's Bunting,1745; 535,Calcariidae,Plectrophane blanc,Plectrophenax,Passeriformes,species,Plectrophenax hyperboreus,Plectrophenax hyperboreus,NA,NA,NA,NA,NA,NA,NA
Anas discors,Querquedula discors; Anas discors,1,Taxon concept 712217b9-ecbb-40f6-a189-977c25d240fd containing 'Querquedula discors' and 'Anas discors' found between 1886 to 2017 in 5 datasets (part of name cluster a74d45b3-da5b-4190-8f77-75f142693838),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,"Monotypic. <i>Anas discors orphna</i> recognized by AOU 1957, but validity doubtful.",Blue-winged Teal,140; 42,Anatidae,Sarcelle à ailes bleues,Anas,Anseriformes,species,Anas discors,Anas discors,NA,NA,NA,NA,NA,NA,Anatinae
Melanerpes erythrocephalus,Melanerpes erythrocephalus,1,Taxon concept eb704e34-d0e5-4cc7-ac9d-5828128202f9 containing 'Melanerpes erythrocephalus' found between 1886 to 2017 in 3 datasets (part of name cluster f0c5e082-42bd-4a9b-a4b7-2234705cd5cd),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Red-headed Woodpecker,940; 406,Picidae,Pic à tête rouge,Melanerpes,Piciformes,species,Melanerpes erythrocephalus,Melanerpes erythrocephalus,NA,NA,NA,NA,NA,NA,Picinae
Sturnus vulgaris,Sturnus vulgaris,1,Taxon concept 9eadc498-921c-47e5-9319-255b3be22fb0 containing 'Sturnus vulgaris' found between 1886 to 2017 in 4 datasets (part of name cluster 4c3a4cd4-2a2c-46fc-ac75-92c3c0681881),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,European Starling,[493]; 1509,Sturnidae,Étourneau sansonnet,Sturnus,Passeriformes,species,Sturnus vulgaris,Sturnus vulgaris,NA,NA,NA,I,NA,NA,NA
Vermivora chrysoptera,Vermivora chrysoptera; Helminthophila chrysoptera,1,Taxon concept 5b432b53-b163-4843-967e-492d324f7ef7 containing 'Helminthophila chrysoptera' and 'Vermivora chrysoptera' found between 1886 to 2017 in 8 datasets (part of name cluster 7bd0cfe8-7369-4664-8156-48d92670ad7c),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Golden-winged Warbler,1534; 642,Parulidae,Paruline à ailes dorées,Vermivora,Passeriformes,species,Vermivora chrysoptera; Helminthophila chrysoptera,Vermivora chrysoptera,NA,NA,NA,NA,NA,NA,NA
Vermivora bachmanii,Helminthophila bachmanii; Vermivora bachmanii; Helminthophila bachmani; Vermivora bachmani,1,Taxon concept d54548b6-4b66-4309-ad4b-d06e56bc098b containing 'Helminthophila bachmani' and 'Helminthophila bachmanii' and 'Vermivora bachmanii' and 'Vermivora bachmani' found between 1886 to 2017 in 11 datasets (part of name cluster afe7fcb2-1415-4d4f-9e0a-9b0dd2ff55eb),added -> rename -> rename -> rename -> referenced -> rename -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Bachman's Warbler,640; 1532,Parulidae,Paruline de Bachman,Vermivora,Passeriformes,species,Vermivora bachmanii; Helminthophila bachmani,Vermivora bachmanii,NA,†,NA,NA,NA,NA,NA
