"","sum_redescriptions","mean_redescriptions","count","min","mean","max","significant","interval_width"
"Acanthis",0,0,2,-2.4639768396788,-0.526909458116887,1.13388260509348,"no",3.59785944477228
"Accipiter",1,0.333333333333333,3,-1.60984240980626,0.0653885215430113,1.5515781718251,"no",3.16142058163137
"Actitis",0,0,1,-2.30725906875095,-0.29635663949879,1.52033089771316,"no",3.82758996646411
"Aechmophorus",2,1,2,-0.629852767285055,0.952376785938834,2.42385222842322,"no",3.05370499570828
"Aegolius",0,0,2,-2.40461961688969,-0.444407990807508,1.28332051884926,"no",3.68794013573895
"Aeronautes",0,0,1,-2.31012268583674,-0.263371515933222,1.63931010088064,"no",3.94943278671738
"Aethia",0,0,4,-2.51146739808077,-0.659417378701348,0.950652242952323,"no",3.46211964103309
"Agelaius",3,0.75,4,-0.529413489784307,0.799078944694579,1.98559433282836,"no",2.51500782261266
"Aimophila",0,0,1,-2.36224572464066,-0.378198864582061,1.42154799647987,"no",3.78379372112053
"Aix",0,0,1,-2.30907998414421,-0.312821344505694,1.50656280592829,"no",3.81564279007249
"Alauda",0,0,1,-2.34789410172352,-0.310588645670747,1.48074216776485,"no",3.82863626948837
"Alca",0,0,1,-2.30944901751816,-0.279806859266546,1.54954981238825,"no",3.8589988299064
"Alectoris",1,1,1,-1.26347434174405,0.643223965724192,2.39453222742365,"no",3.6580065691677
"Alle",0,0,1,-2.34620688538257,-0.27591726858896,1.54833136804644,"no",3.89453825342901
"Amazilia",0,0,3,-2.38886205153968,-0.448785316443779,1.29721159533264,"no",3.68607364687232
"Ammodramus",10,1.42857142857143,7,0.484420489543758,1.38146433087207,2.24001891632439,"yes",1.75559842678063
"Amphispiza",0,0,1,-2.3260338304823,-0.384971852770375,1.36038214647571,"no",3.68641597695801
"Anas",2,0.142857142857143,14,-1.74974489340191,-0.413016957827759,0.753341780725652,"no",2.50308667412756
"Anhinga",0,0,1,-2.39381947858331,-0.352864562081795,1.49600469086023,"no",3.88982416944355
"Anous",0,0,1,-2.29961287089323,-0.255913863026758,1.57278802977069,"no",3.87240090066392
"Anser",4,1,4,0.164852014314537,1.39093501785386,2.50653263238209,"yes",2.34168061806755
"Anthus",2,0.5,4,-1.18668296982909,0.278637349187734,1.59552818870226,"no",2.78221115853135
"Antigone",0,0,1,-2.32881618144773,-0.339093181557057,1.5026706527145,"no",3.83148683416223
"Antrostomus",1,0.5,2,-1.48289811243975,0.232336659073945,1.7641721736012,"no",3.24707028604095
"Aphelocoma",13,2.16666666666667,6,1.09038016326552,2.03100302821299,2.91087349388784,"yes",1.82049333062233
"Apus",0,0,2,-2.31161133908079,-0.287607296040937,1.5884619643225,"no",3.90007330340329
"Aquila",0,0,1,-2.27564199286337,-0.332102778318156,1.43970900834615,"no",3.71535100120952
"Aramus",0,0,1,-2.31714895113224,-0.348431020690496,1.47155073476828,"no",3.78869968590052
"Archilochus",0,0,2,-2.37301834586322,-0.392888194562922,1.37838304749213,"no",3.75140139335535
"Ardea",2,0.666666666666667,3,-0.913291960170731,0.571634939155422,1.89385817822613,"no",2.80715013839687
"Ardenna",0,0,7,-2.91162135171219,-1.20804345068453,0.276735719659466,"no",3.18835707137166
"Arenaria",1,0.5,2,-1.43825071597822,0.294814396161811,1.82830502008099,"no",3.26655573605921
"Arremonops",0,0,1,-2.43569155830729,-0.399852615033674,1.38580423151942,"no",3.82149578982671
"Artemisiospiza",3,1.5,2,0.00406122198119911,1.48219799147063,2.77985290024451,"yes",2.77579167826331
"Asio",1,0.5,2,-1.31603042715386,0.409334165268198,1.98182466196966,"no",3.29785508912353
"Athene",0,0,1,-2.33171064950476,-0.27909879449689,1.57066430422776,"no",3.90237495373252
"Atthis",1,1,1,-1.19551727694234,0.78379754742622,2.60549821082704,"no",3.80101548776937
"Auriparus",0,0,1,-2.33147599908384,-0.32878537407828,1.48992320779381,"no",3.82139920687765
"Aythya",0,0,7,-2.69821930318375,-0.947009732877751,0.580367314922598,"no",3.27858661810635
"Baeolophus",6,1.2,5,0.263991431897219,1.40586528430526,2.50303759413859,"yes",2.23904616224138
"Bartramia",0,0,1,-2.35630579049797,-0.295462413330724,1.57596036357571,"no",3.93226615407368
"Basileuterus",1,0.333333333333333,3,-1.39812981170589,0.320529187295829,1.91600397918356,"no",3.31413379088944
"Bombycilla",0,0,2,-2.43137924838278,-0.492423925501802,1.24281070003213,"no",3.67418994841491
"Bonasa",0,0,1,-2.37369759749665,-0.42492629388232,1.32231524245253,"no",3.69601283994918
"Botaurus",0,0,1,-2.40298449305427,-0.381180800509606,1.42740642304802,"no",3.83039091610229
"Brachyramphus",2,0.666666666666667,3,-0.660698590656365,0.867234309995545,2.24994978283967,"no",2.91064837349604
"Branta",5,1.25,4,0.370871572204029,1.49782914475429,2.56405930067729,"yes",2.19318772847327
"Bubo",0,0,2,-2.34904537131442,-0.451993078812301,1.261723954216,"no",3.61076932553042
"Bubulcus",0,0,1,-2.32641265603466,-0.228972659590248,1.65627977968699,"no",3.98269243572164
"Bucephala",0,0,3,-2.48137739194513,-0.636332093449124,0.988428702026864,"no",3.469806093972
"Buteo",4,0.4,10,-0.781514981449785,0.402636737972401,1.50860646826822,"no",2.290121449718
"Buteogallus",1,1,1,-1.3045819225745,0.500026358961981,2.12965645915902,"no",3.43423838173352
"Butorides",5,2.5,2,0.739110119485127,1.98703979865242,3.14597241083111,"yes",2.40686229134598
"Calamospiza",0,0,1,-2.34822275126377,-0.388792409608648,1.37178492116466,"no",3.72000767242843
"Calcarius",0,0,3,-2.51898601324616,-0.58086593927191,1.11361091004014,"no",3.63259692328629
"Calidris",4,0.19047619047619,21,-1.2493674010818,-0.119444966082574,0.916325786278132,"no",2.16569318735993
"Callipepla",0,0,3,-2.51694885398798,-0.666956001090856,1.00282260864882,"no",3.5197714626368
"Calonectris",3,1.5,2,-0.0476778979814005,1.425555564615,2.81876847560207,"no",2.86644637358347
"Calothorax",0,0,1,-2.29788935184386,-0.23571299726245,1.67809991859041,"no",3.97598927043427
"Calypte",0,0,2,-2.39862038800703,-0.390172048852124,1.38613115857678,"no",3.78475154658381
"Campephilus",0,0,1,-2.38259959664573,-0.374347285925331,1.45745471131107,"no",3.8400543079568
"Camptorhynchus",0,0,1,-2.37643625465149,-0.328653834843096,1.48810076656935,"no",3.86453702122084
"Camptostoma",0,0,1,-2.38113593669307,-0.318428108943201,1.55944637149869,"no",3.94058230819176
"Campylorhynchus",0,0,1,-2.33116020239838,-0.354543439610598,1.43288547777558,"no",3.76404568017397
"Caracara",3,1.5,2,-0.392146096403832,1.06311152476603,2.39264461892082,"no",2.78479071532466
"Cardellina",0,0,4,-2.40463591164777,-0.570316135562897,1.08848589438813,"no",3.49312180603591
"Cardinalis",0,0,2,-2.42938179670971,-0.427048824133368,1.30748658752978,"no",3.73686838423949
