name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; January 1982; February 1982; 2017,yes,yes
Tachycineta bicolor,"Tachycineta bicolor, Iridoprocne bicolor",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; January 1982; February 1982; 2017,yes,yes
Cepphus grylle,Cepphus grylle,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; February 1982; 2017,yes,yes
Junco montanus,Junco montanus,1,Dataset aou_2_09 (1899); Dataset aou_2_14 (1908),1899; 1908,no,no
Calidris canutus,"Calidris canutus, Tringa canutus",2,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; 1931; 1957; January 1982; February 1982; 2017,yes,yes
Sayornis nigricans,Sayornis nigricans,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes
Calidris ferruginea,"Erolia testacea, Tringa ferruginea, Calidris ferruginea, Erolia ferruginea",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4 (1931); Dataset aou_4_21 (1946); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1931; 1946; 1973; February 1982; 2017,yes,yes
Rallus levipes,Rallus levipes,1,Dataset aou_2_14 (1908); Dataset aou_4 (1931),1908; 1931,no,no
Zonotrichia albicollis,Zonotrichia albicollis,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes
Phalacrocorax pelagicus,"Phalacrocorax pelagicus robustus, Phalacrocorax pelagicus resplendens, Phalacrocorax pelagicus",3,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes
Trochilus heloisa,Trochilus heloisa,1,Checklist aou_1.csv (1886); Dataset aou_1_03 (1891),1886; 1891,yes,no
