name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Acanthis flammea,"Acanthis linaria rostrata, Acanthis flammea, Acanthis linaria, Carduelis flammea, Acanthis linaria holboellii",5,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1957; 1976; February 1982; 2009; 2017,yes,yes,yes,Avibase: rename
Acanthis hornemanni,"Acanthis hornemannii exilipes, Acanthis hornemanni, Carduelis hornemanni, Acanthis hornemannii",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; 1976; February 1982; 2009; 2017,yes,yes,no,
Accipiter cooperii,"Accipiter cooperi, Accipiter cooperii",2,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1909; 1910; 1923; 1944; February 1982; 2017,yes,yes,no,
Accipiter gentilis,Accipiter gentilis,1,Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1944; 1957; January 1982; February 1982; 2017,no,yes,no,
Accipiter striatus,"Accipiter striatus, Accipiter velox",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1944; February 1982; 2017,yes,yes,yes,Avibase: rename
Acridotheres cristatellus,"Acridotheres cristatellus, Aethiopsar cristatellus",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_46 (2005),1931; 1944; 1957; February 1982; 2005,no,no,no,
Actitis macularius,"Actitis macularia, Actitis macularius",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2004; 2017,yes,yes,no,
Adamastor cinereus,"Priofinus cinereus, Puffinus cinereus, Adamastor cinereus",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982),1886; 1899; 1923; 1931; January 1982,yes,no,no,
Aechmophorus clarkii,Aechmophorus clarkii,1,Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1985; 2017,no,yes,no,
Aechmophorus occidentalis,Aechmophorus occidentalis,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; February 1982; 1985; 2017,yes,yes,no,
Aegolius acadicus,"Aegolius acadicus, Cryptoglaux acadicus, Aegolius acadica, Glaux acadicus, Nyctala acadica, Cryptoglaux acadica",6,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1904; 1908; 1909; 1910; 1947; 1957; January 1982; February 1982; 2017,yes,yes,no,
Aegolius funereus,"Glaux funerea, Cryptoglaux funerea, Nyctala tengmalmi, Aegolius funerea, Nyctala tengmalmi richardsoni, Aegolius funereus, Cryptoglaux tengmalmi",7,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1904; 1908; 1909; 1947; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Aeronautes saxatalis,"Micropus melanoleucus, Aeronautes melanoleucus, Aeronautes saxatalis",3,Checklist aou_1.csv (1886); Dataset aou_1_05 (1893); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1893; 1931; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Aethia cristatella,"Aethia cristatella, Simorhynchus cristatellus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Aethia psittacula,"Cyclorrhynchus psittacula, Cyclorrhynchus psittaculus, Aethia psittacula, Phaleris psittacula",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1957; February 1982; 1997; 2017,yes,yes,no,
Aethia pusilla,"Aethia pusilla, Simorhynchus pusillus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Aethia pygmaea,"Simorhynchus pygmaeus, Aethia pygmaea",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
