dataset,date,year,type,binomial_count,count_changes_filtered,count_changes_explicit,count_changes_implicit,count_implicit_added,count_explicit_added,count_implicit_deleted,count_explicit_deleted,count_implicit_lump,count_explicit_lump,count_implicit_rename,count_explicit_rename,count_implicit_split,count_explicit_split
aou_1.csv,1886,1886,Checklist,771,0,0,951,951,0,0,0,0,0,0,0,0,0
aou_1_01,1889,1889,Dataset,794,8,35,0,0,22,0,2,0,1,0,9,0,1
aou_1_02,1890,1890,Dataset,798,6,9,0,0,4,0,2,0,0,0,2,0,1
aou_1_03,1891,1891,Dataset,799,4,6,0,0,3,0,1,0,1,0,1,0,0
aou_1_04,1892,1892,Dataset,799,4,2,0,0,1,0,0,0,1,0,0,0,0
aou_1_05,1893,1893,Dataset,800,4,13,0,0,0,0,0,0,0,0,12,0,1
aou_1_06,1894,1894,Dataset,800,7,2,0,0,0,0,0,0,0,0,2,0,0
aou_1_07,1895,1895,Dataset,804,6,8,0,0,5,0,1,0,2,0,0,0,0
aou_2,1895,1895,Dataset,808,24,19,0,0,1,0,0,0,0,0,18,0,0
aou_2_08,1897,1897,Dataset,816,6,22,0,0,6,0,0,0,2,0,14,0,0
aou_2_09,1899,1899,Dataset,837,5,66,0,0,9,0,1,0,0,0,55,0,1
aou_2_10,1901,1901,Dataset,845,1,17,0,0,8,0,1,0,0,0,7,0,1
aou_2_11,1902,1902,Dataset,845,4,28,0,0,2,0,0,0,5,0,20,0,1
aou_2_12,1903,1903,Dataset,850,8,51,0,0,3,0,2,0,2,0,44,0,0
aou_2_13,1904,1904,Dataset,848,8,16,0,0,0,0,4,0,1,0,11,0,0
aou_2_14,1908,1908,Dataset,854,37,148,0,0,12,0,13,0,8,0,112,0,3
aou_2_15,1909,1909,Dataset,854,73,24,0,0,0,0,1,0,0,0,23,0,0
aou_3,1910,1910,Dataset,859,91,79,0,0,6,0,4,0,1,0,68,0,0
aou_3_16,1912,1912,Dataset,863,5,4,0,0,4,0,0,0,0,0,0,0,0
aou_3_17,1920,1920,Dataset,865,59,32,0,0,0,0,0,0,0,0,32,0,0
aou_3_18,1923,1923,Dataset,864,59,30,0,0,2,0,2,0,6,0,20,0,0
aou_4,1931,1931,Dataset,874,109,198,0,0,39,0,11,0,40,0,103,0,5
aou_4_19,1944,1944,Dataset,853,11,124,0,0,1,0,4,0,30,0,87,0,2
aou_4_20,1945,1945,Dataset,858,3,33,0,0,11,0,4,0,2,0,15,0,1
aou_4_21,1946,1946,Dataset,855,0,14,0,0,0,0,1,0,2,0,11,0,0
aou_4_22,1947,1947,Dataset,860,1,29,0,0,2,0,1,0,2,0,24,0,0
aou_4_23,1948,1948,Dataset,863,1,13,0,0,3,0,0,0,1,0,9,0,0
aou_4_24,1949,1949,Dataset,867,0,7,0,0,2,0,0,0,0,0,4,0,1
aou_4_25,1950,1950,Dataset,869,0,11,0,0,2,0,0,0,1,0,8,0,0
aou_4_26,1951,1951,Dataset,870,0,6,0,0,1,0,0,0,0,0,4,0,1
aou_4_27,1952,1952,Dataset,868,0,9,0,0,0,0,1,0,1,0,7,0,0
aou_4_28,1953,1953,Dataset,871,1,4,0,0,3,0,0,0,1,0,0,0,0
aou_4_29,1954,1954,Dataset,873,3,4,0,0,1,0,0,0,1,0,1,0,1
aou_4_30,1955,1955,Dataset,870,0,6,0,0,0,0,3,0,1,0,2,0,0
aou_4_31,1956,1956,Dataset,875,1,10,0,0,4,0,1,0,0,0,3,0,2
aou_5,1957,1957,Dataset,873,250,35,0,0,2,0,2,0,0,0,31,0,0
aou_5_32,1973,1973,Dataset,859,2,75,0,0,1,0,1,0,16,0,54,0,3
aou_5_33,1976,1976,Dataset,858,6,35,0,0,0,0,0,0,4,0,31,0,0
aou_5_34,January 1982,1982,Dataset,835,478,99,0,0,10,0,32,0,5,0,50,0,2
aou_5_34.csv,February 1982,1982,Checklist,754,186,1,252,16,0,236,0,0,0,0,1,0,0
aou_6,1983,1983,Dataset,775,1107,22,0,0,22,0,0,0,0,0,0,0,0
aou_6_35,1985,1985,Dataset,779,34,5,0,0,0,0,0,0,0,0,1,0,4
aou_6_36,1987,1987,Dataset,780,14,3,0,0,1,0,1,0,0,0,0,0,1
aou_6_37,1989,1989,Dataset,783,23,8,0,0,1,0,1,0,0,0,2,0,4
aou_6_38,1991,1991,Dataset,783,13,2,0,0,0,0,0,0,0,0,2,0,0
aou_6_39,1993,1993,Dataset,789,26,5,0,0,0,0,0,0,0,0,0,0,5
aou_6_40,1995,1995,Dataset,797,31,8,0,0,1,0,0,0,0,0,2,0,5
aou_6_41,1997,1997,Dataset,808,118,35,0,0,3,0,0,0,0,0,25,0,7
aou_7,1998,1998,Dataset,808,78,1,0,0,0,0,0,0,0,0,1,0,0
aou_7_42,2000,2000,Dataset,815,19,9,0,0,0,0,0,0,0,0,4,0,5
aou_7_43,2002,2002,Dataset,817,15,6,0,0,0,0,0,0,0,0,4,0,2
aou_7_44,2003,2003,Dataset,819,57,13,0,0,0,0,0,0,1,0,10,0,2
aou_7_45,2004,2004,Dataset,822,49,11,0,0,1,0,0,0,0,0,8,0,2
aou_7_46,2005,2005,Dataset,821,29,2,0,0,0,0,1,0,1,0,0,0,0
aou_7_47,2006,2006,Dataset,826,39,20,0,0,1,0,1,0,0,0,15,0,3
aou_7_48,2007,2007,Dataset,828,5,6,0,0,1,0,1,0,0,0,2,0,2
aou_7_49,2008,2008,Dataset,832,50,9,0,0,0,0,0,0,1,0,5,0,3
aou_7_50,2009,2009,Dataset,832,47,9,0,0,0,0,0,0,0,0,9,0,0
aou_7_51,2010,2010,Dataset,837,60,21,0,0,1,0,0,0,0,0,17,0,3
aou_7_52,2011,2011,Dataset,841,48,35,0,0,0,0,0,0,0,0,31,0,4
aou_7_53,2012,2012,Dataset,844,43,12,0,0,0,0,0,0,1,0,8,0,3
aou_7_54,2013,2013,Dataset,847,30,9,0,0,1,0,0,0,0,0,5,0,3
aou_7_55,2014,2014,Dataset,855,51,6,0,0,0,0,1,0,0,0,0,0,5
aou_7_56,2015,2015,Dataset,859,30,5,0,0,0,0,0,0,0,0,2,0,3
aou_7_57,2016,2016,Dataset,862,18,11,0,0,0,0,0,0,1,0,8,0,2
NACC_list_species_aou_7_57.csv,2017,2017,Checklist,851,1310,0,11,0,0,11,0,0,0,0,0,0,0
