id,name,names,name_cluster_id,date_range,datasets,first_added_dataset,last_recognized_dataset,dataset_years,first_added_year,last_recognized_year,starts_with,ends_with,is_polytypic,is_ongoing,recognized_in_last_dataset
c91da897-2482-4bf4-b018-db540d80e2c6,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,08b7659b-63a7-450c-9b1c-f2e3b9698f9c,1886 to 2017,"aou_1.csv, aou_3, aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1910, 1982, 1982, 2017",1886,2017,added Pelecanus erythrorhynchos,,no,no,yes
2ab049f5-1514-4cb8-adfb-ceba7d8ecb16,Tachycineta bicolor,Iridoprocne bicolor; Tachycineta bicolor,e05fa045-db2c-481f-963e-d879fbdaed1c,1886 to 2017,"aou_1.csv, aou_2_12, aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1903, 1982, 1982, 2017",1886,2017,added Tachycineta bicolor,,no,no,yes
d7d477b9-f992-4d75-aa47-c5c0ca61886c,Cepphus grylle,Cepphus grylle,57d0f939-d785-4bd1-9235-2fddc2b0c3fb,1886 to 1931,"aou_1.csv, aou_4",aou_1.csv,aou_4,"1886, 1931",1886,1931,added Cepphus grylle,"Cepphus mandtii + Cepphus grylle -> Cepphus grylle [lump, aou_4 (1931)]",yes,no,yes
278bd430-052f-4a5d-b531-b150d5babde1,Cepphus grylle,Cepphus grylle,57d0f939-d785-4bd1-9235-2fddc2b0c3fb,1931 to 2017,"aou_4, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_4,NACC_list_species_aou_7_57.csv,"1931, 1982, 2017",1931,2017,"Cepphus mandtii + Cepphus grylle -> Cepphus grylle [lump, aou_4 (1931)]",,yes,no,yes
ac82e8e8-07c8-41d0-9f38-6c6fc79e4576,Junco montanus,Junco montanus,7b515894-540c-463a-aedb-284e6463334b,1899 to 1908,"aou_2_09, aou_2_14",aou_2_09,aou_2_14,"1899, 1908",1899,1908,added Junco montanus,,no,no,no
d5f71d72-2457-49d0-b8b1-dc9b0ec0b821,Calidris canutus,Calidris canutus; Tringa canutus,f8492f31-f771-475e-82d1-e925c18e4b30,1886 to 2017,"aou_1.csv, aou_3_18, aou_4, aou_5, aou_5_34, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1923, 1931, 1957, 1982, 1982, 2017",1886,2017,added Tringa canutus,,no,no,yes
f7fe218e-e715-4d93-a3c9-de6e840474ff,Sayornis nigricans,Sayornis nigricans,8b088356-41af-43be-9fee-4fc23bd83dd9,1886 to 2017,"aou_1.csv, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1982, 2017",1886,2017,added Sayornis nigricans,,no,no,yes
38ea219a-5dcf-41bd-af03-0d3e359aa52d,Calidris ferruginea,Calidris ferruginea; Erolia ferruginea; Erolia testacea; Tringa ferruginea,00040ac9-d0c1-4ca5-81e5-f0f22c3fd486,1886 to 2017,"aou_1.csv, aou_2_12, aou_4, aou_4_21, aou_5_32, aou_5_34.csv, NACC_list_species_aou_7_57.csv",aou_1.csv,NACC_list_species_aou_7_57.csv,"1886, 1903, 1931, 1946, 1973, 1982, 2017",1886,2017,added Tringa ferruginea,,no,no,yes
4132408e-58d6-4ba4-bc9d-f0113f6b22fd,Rallus levipes,Rallus levipes,32c37335-f0cb-4649-80be-dab5f2d090f4,1908 to 1931,"aou_2_14, aou_4",aou_2_14,aou_4,"1908, 1931",1908,1931,added Rallus levipes,"Rallus obsoletus + Rallus beldingi + Rallus levipes -> Rallus obsoletus [lump, aou_4 (1931)]",yes,no,no
0389f3f1-2afe-4d5f-8a20-5d7e345041fb,Rallus levipes,Rallus levipes,32c37335-f0cb-4649-80be-dab5f2d090f4,1931,aou_4,aou_4,aou_4,1931,1931,1931,"Rallus obsoletus + Rallus beldingi + Rallus levipes -> Rallus obsoletus [lump, aou_4 (1931)]",,yes,no,no
